title	year	avg_rating	#votes	genres	runtime_min	id
The Story of the Kelly Gang	1906	6.1	552	Biography,Crime,Drama	70	0000574
Passion	1919	6.8	721	Biography,Drama,Romance	85	0002423
Quo Vadis?	1913	6.1	248	Drama,History	120	0002445
Atlantis	1913	6.6	316	Drama	121	0002646
Ingeborg Holm	1913	7.1	900	Drama	96	0003014
The Student of Prague	1913	6.5	1673	Drama,Fantasy,Horror	85	0003419
Traffic in Souls	1913	6.0	533	Crime,Drama	88	0003471
The Last Days of Pompeii	1913	6.2	461	Adventure,Drama	88	0003489
The Avenging Conscience: or 'Thou Shalt Not Kill'	1914	6.5	1060	Crime,Drama,Horror	78	0003643
Cabiria	1914	7.1	2880	Adventure,Drama,History	148	0003740
Tillie's Punctured Romance	1914	6.3	3187	Comedy	82	0004707
The Birth of a Nation	1915	6.4	21071	Drama,History,War	195	0004972
Blind Justice	1916	6.8	253	Crime,Drama,Horror	100	0005529
The Italian	1915	6.6	277	Drama	72	0005557
The Regeneration	1915	6.8	1062	Biography,Crime,Drama	72	0005960
Les vampires	1915	7.3	3975	Action,Adventure,Crime	421	0006206
20,000 Leagues Under the Sea	1916	6.2	1455	Action,Adventure,Sci-Fi	105	0006333
The Half-Breed	1916	6.6	130	Western	73	0006753
Intolerance: Love's Struggle Throughout the Ages	1916	7.8	13250	Drama,History	163	0006864
Judex	1916	7.4	826	Adventure,Crime	300	0006886
A Trip to Mars	1918	6.5	566	Adventure,Fantasy,Sci-Fi	97	0008100
Joan the Woman	1916	6.5	479	Adventure,Drama,History	138	0008150
Rebecca of Sunnybrook Farm	1917	6.2	750	Comedy,Drama	78	0008499
A Romance of the Redwoods	1917	5.7	719	Adventure,Comedy,Drama	70	0008519
Wild and Woolly	1917	6.5	541	Comedy,Romance,Western	72	0008775
The Outlaw and His Wife	1918	7.2	1429	Drama	136	0008879
The Blue Bird	1918	7.0	747	Fantasy	75	0008891
Hearts of the World	1918	6.4	885	Drama,War	117	0009150
Mickey	1918	5.9	1046	Comedy,Drama	93	0009369
Stella Maris	1918	6.7	1336	Drama	84	0009652
Tarzan of the Apes	1918	5.7	640	Action,Adventure	73	0009682
The Whispering Chorus	1918	6.8	247	Drama	86	0009796
Blind Husbands	1919	7.0	1281	Drama,Romance	99	0009937
Broken Blossoms	1919	7.4	8863	Drama,Romance	90	0009968
Daddy-Long-Legs	1919	6.5	1289	Comedy,Drama	85	0010040
Don't Change Your Husband	1919	6.6	1107	Comedy	71	0010071
The Greatest Question	1919	5.7	660	Drama	80	0010193
Heart o' the Hills	1919	5.7	502	Drama,Romance	87	0010227
Sir Arne's Treasure	1919	7.3	1133	Drama,History	122	0010247
The Hoodlum	1919	6.7	912	Comedy	78	0010267
J'accuse!	1919	7.7	1335	Drama,Horror,War	166	0010307
The Cabinet of Dr. Caligari	1920	8.1	52275	Fantasy,Horror,Mystery	76	0010323
Male and Female	1919	7.0	1680	Adventure,Drama	116	0010418
True Heart Susie	1919	7.0	1537	Comedy,Drama,Romance	87	0010806
When the Clouds Roll by	1919	6.9	750	Action,Comedy,Romance	85	0010879
Deception	1920	6.6	537	Biography,Drama,Romance	100	0010962
Dr. Jekyll and Mr. Hyde	1920	7.0	4527	Drama,Horror,Sci-Fi	82	0011130
Erotikon	1920	6.6	685	Comedy,Romance	106	0011157
The Flapper	1920	6.6	276	Comedy	88	0011193
The Golem	1920	7.2	6075	Fantasy,Horror	91	0011237
The Last of the Mohicans	1920	6.7	1059	Action,Adventure,Drama	73	0011387
The Mark of Zorro	1920	7.1	2043	Adventure,Romance,Western	107	0011439
The Penalty	1920	7.4	1917	Crime,Drama,Horror	90	0011565
The Parson's Widow	1920	7.2	982	Comedy,Drama,Horror	71	0011607
The Saphead	1920	6.2	1351	Comedy	77	0011652
Suds	1920	6.3	202	Comedy,Drama,Romance	75	0011741
Sumurun	1920	6.1	595	Adventure,Drama,Romance	115	0011742
The Toll Gate	1920	6.5	181	Adventure,Drama,Western	73	0011779
Way Down East	1920	7.5	4773	Drama,Romance	145	0011841
Why Change Your Wife?	1920	6.7	1302	Comedy,Drama	90	0011865
Within Our Gates	1920	6.3	2072	Drama,Romance	79	0011870
The Ace of Hearts	1921	6.8	1012	Crime,Drama,Mystery	75	0011904
The Affairs of Anatol	1921	6.6	1194	Comedy,Drama	117	0011909
The Wildcat	1921	7.0	988	Comedy,Drama,Romance	79	0011960
The Blot	1921	6.8	453	Drama	91	0011979
Camille	1921	6.6	852	Drama,Romance	72	0012027
The Conquering Power	1921	6.8	399	Drama,Romance	89	0012068
The Four Horsemen of the Apocalypse	1921	7.2	2982	Drama,Romance,War	150	0012190
Hail the Woman	1921	7.0	43	Drama	80	0012248
The Phantom Carriage	1921	8.1	9463	Drama,Fantasy,Horror	100	0012364
Little Lord Fauntleroy	1921	6.7	263	Drama	112	0012397
Miss Lulu Bett	1921	7.0	290	Comedy,Drama	71	0012465
Destiny	1921	7.7	4751	Drama,Fantasy,Thriller	97	0012494
Orphans of the Storm	1921	7.4	4520	Drama,History,Romance	150	0012532
Outside the Law	1920	6.6	449	Crime,Romance,Thriller	75	0012538
The Sheik	1921	6.4	2976	Adventure,Drama,Romance	86	0012675
The Three Musketeers	1921	6.9	810	Action,Adventure,Romance	119	0012752
Tol'able David	1921	6.8	1694	Drama	99	0012763
Beyond the Rocks	1922	6.8	2195	Drama,Romance	80	0012938
Blood and Sand	1922	6.4	1191	Drama,Romance,Sport	80	0012952
The Burning Soil	1922	6.9	540	Drama	98	0012973
Crainquebille	1922	7.1	329	Drama	90	0013033
Down to the Sea in Ships	1922	6.2	322	Adventure,Drama,Romance	83	0013085
Dr. Mabuse the Gambler	1922	7.9	6905	Crime,Mystery,Thriller	242	0013086
Flesh and Blood	1922	6.2	138	Drama	74	0013134
Foolish Wives	1922	7.1	2816	Drama,Thriller	117	0013140
Häxan	1922	7.7	10971	Fantasy,History,Horror	91	0013257
Lorna Doone	1922	6.7	257	Drama,Romance	70	0013332
Nanook of the North	1922	7.6	10000	Documentary	78	0013427
Nosferatu	1922	7.9	83609	Fantasy,Horror	94	0013442
Oliver Twist	1922	6.7	683	Drama	98	0013450
One Exciting Night	1922	6.4	76	Comedy,Horror,Mystery	128	0013458
Phantom	1922	6.9	1458	Drama,Romance	125	0013496
The Prisoner of Zenda	1922	6.7	429	Adventure,Romance	125	0013515
Robin Hood	1922	7.2	1898	Adventure,Family,Romance	143	0013556
Salomé	1922	6.6	769	Biography,Drama,History	72	0013571
Warning Shadows	1923	6.8	797	Drama,Fantasy,Horror	90	0013579
Shadows	1922	6.3	348	Drama	70	0013592
Tess of the Storm Country	1922	6.9	398	Drama,Romance	137	0013662
