title	year	avg_rating	#votes	genres	runtime_min	id
The Birth of a Nation	1915	6.4	21071	Drama,History,War	195	0004972
Intolerance: Love's Struggle Throughout the Ages	1916	7.8	13250	Drama,History	163	0006864
Broken Blossoms	1919	7.4	8863	Drama,Romance	90	0009968
The Cabinet of Dr. Caligari	1920	8.1	52275	Fantasy,Horror,Mystery	76	0010323
The Phantom Carriage	1921	8.1	9463	Drama,Fantasy,Horror	100	0012364
Häxan	1922	7.7	10971	Fantasy,History,Horror	91	0013257
Nanook of the North	1922	7.6	10000	Documentary	78	0013427
Nosferatu	1922	7.9	83609	Fantasy,Horror	94	0013442
Safety Last!	1923	8.1	16951	Action,Comedy,Thriller	74	0014429
The Last Laugh	1924	8.1	11500	Drama	77	0015064
Battleship Potemkin	1925	8.0	49696	Drama,History,Thriller	75	0015648
The Gold Rush	1925	8.2	92919	Adventure,Comedy,Drama	95	0015864
Greed	1924	8.1	8518	Drama,Thriller,Western	140	0015881
The Phantom of the Opera	1925	7.6	15651	Horror	93	0016220
Faust	1926	8.1	13117	Drama,Fantasy,Horror	107	0016847
Metropolis	1927	8.3	149942	Drama,Sci-Fi	153	0017136
The Jazz Singer	1927	6.5	8436	Drama,Music,Musical	88	0018037
Sunrise	1927	8.1	44640	Drama,Romance	94	0018455
Wings	1927	7.5	10535	Action,Drama,Romance	144	0018578
Pandora's Box	1929	7.9	9176	Crime,Drama,Romance	109	0018737
The Cameraman	1928	8.1	9546	Comedy,Drama,Family	76	0018742
The Circus	1928	8.2	24017	Comedy,Romance	72	0018773
The Passion of Joan of Arc	1928	8.1	42822	Biography,Drama,History	110	0019254
Steamboat Bill, Jr.	1928	7.9	12138	Action,Comedy,Drama	70	0019421
Blackmail	1929	7.0	8994	Crime,Film-Noir,Thriller	85	0019702
All Quiet on the Western Front	1930	8.0	54713	Drama,War	136	0020629
Animal Crackers	1930	7.6	12594	Comedy,Musical	97	0020640
The Blue Angel	1930	7.7	12853	Drama,Music	104	0020697
Little Caesar	1931	7.3	11184	Action,Crime,Drama	79	0021079
City Lights	1931	8.5	154571	Comedy,Drama,Romance	87	0021749
Dracula	1931	7.5	43140	Fantasy,Horror	75	0021814
Frankenstein	1931	7.8	60937	Drama,Horror,Sci-Fi	70	0021884
M	1931	8.3	133369	Crime,Mystery,Thriller	117	0022100
Monkey Business	1931	7.5	10752	Comedy,Musical	77	0022158
The Public Enemy	1931	7.7	16659	Crime,Drama	83	0022286
Dr. Jekyll and Mr. Hyde	1931	7.6	11812	Horror,Sci-Fi	98	0022835
Grand Hotel	1932	7.4	16205	Drama,Romance	112	0022958
I Am a Fugitive from a Chain Gang	1932	8.2	10894	Crime,Drama,Film-Noir	92	0023042
The Mummy	1932	7.1	21738	Fantasy,Horror	73	0023245
The Old Dark House	1932	7.1	8316	Comedy,Horror,Thriller	72	0023293
Scarface	1932	7.8	23728	Action,Crime,Drama	93	0023427
The Testament of Dr. Mabuse	1933	8.0	10759	Crime,Horror,Mystery	122	0023563
Trouble in Paradise	1932	8.0	12082	Comedy,Crime,Romance	83	0023622
Vampyr	1932	7.6	14492	Fantasy,Horror	75	0023649
42nd Street	1933	7.4	10029	Comedy,Musical,Romance	89	0024034
The Invisible Man	1933	7.7	27465	Horror,Sci-Fi	71	0024184
King Kong	1933	7.9	75538	Adventure,Horror,Sci-Fi	100	0024216
L'Atalante	1934	7.8	13471	Comedy,Drama,Romance	89	0024844
It Happened One Night	1934	8.1	87565	Comedy,Romance	105	0025316
The Man Who Knew Too Much	1934	6.8	15779	Crime,Mystery,Thriller	75	0025452
The Thin Man	1934	8.0	24914	Comedy,Crime,Mystery	91	0025878
Triumph of the Will	1935	7.3	14162	Documentary,History,War	114	0025913
The 39 Steps	1935	7.7	48292	Film-Noir,Mystery,Thriller	86	0026029
Bride of Frankenstein	1935	7.8	40709	Drama,Horror,Sci-Fi	75	0026138
Captain Blood	1935	7.7	12186	Action,Adventure	119	0026174
Mutiny on the Bounty	1935	7.7	19543	Adventure,Biography,Drama	132	0026752
A Night at the Opera	1935	7.9	29230	Comedy,Music,Musical	96	0026778
Top Hat	1935	7.8	16254	Comedy,Musical,Romance	101	0027125
After the Thin Man	1936	7.7	8872	Comedy,Crime,Mystery	112	0027260
Fury	1936	7.9	10537	Crime,Drama,Film-Noir	92	0027652
Modern Times	1936	8.5	200574	Comedy,Drama,Family	87	0027977
Mr. Deeds Goes to Town	1936	7.9	18623	Comedy,Drama,Romance	115	0027996
My Man Godfrey	1936	8.0	19412	Comedy,Drama,Romance	94	0028010
The Petrified Forest	1936	7.6	11701	Drama,Film-Noir,Romance	82	0028096
Sabotage	1936	7.1	13685	Crime,Thriller	76	0028212
Swing Time	1936	7.6	11487	Comedy,Musical,Romance	103	0028333
The Awful Truth	1937	7.7	16657	Comedy,Romance	90	0028597
Captains Courageous	1937	8.0	8149	Adventure,Drama,Family	117	0028691
A Day at the Races	1937	7.6	12389	Comedy,Musical,Sport	111	0028772
Grand Illusion	1937	8.1	31883	Drama,War	113	0028950
Lost Horizon	1937	7.7	11433	Adventure,Drama,Fantasy	132	0029162
My Favorite Wife	1940	7.4	8613	Comedy,Romance	88	0029284
Snow White and the Seven Dwarfs	1937	7.6	170693	Animation,Family,Fantasy	83	0029583
A Star Is Born	1937	7.3	8071	Drama,Romance	111	0029606
Young and Innocent	1937	6.9	8018	Crime,Mystery,Romance	80	0029811
The Adventures of Robin Hood	1938	7.9	44971	Action,Adventure,Romance	102	0029843
Alexander Nevsky	1938	7.6	9925	Action,Biography,Drama	112	0029850
Angels with Dirty Faces	1938	7.9	18837	Crime,Drama,Film-Noir	97	0029870
Bringing Up Baby	1938	7.9	52226	Comedy,Family,Romance	102	0029947
Holiday	1938	7.8	13348	Comedy,Romance	95	0030241
Jezebel	1938	7.5	11143	Drama,Romance	104	0030287
The Lady Vanishes	1938	7.8	44130	Film-Noir,Mystery,Thriller	96	0030341
You Can't Take It with You	1938	7.9	21854	Comedy,Drama,Romance	126	0030993
Dark Victory	1939	7.6	9300	Drama,Romance	104	0031210
Destry Rides Again	1939	7.7	9434	Comedy,Western	95	0031225
Gone with the Wind	1939	8.1	272286	Drama,History,Romance	238	0031381
Goodbye, Mr. Chips	1939	7.9	9252	Drama,Romance	114	0031385
Gunga Din	1939	7.4	10400	Adventure,Comedy,War	117	0031398
The Hound of the Baskervilles	1939	7.5	8861	Horror,Mystery,Thriller	80	0031448
The Hunchback of Notre Dame	1939	7.8	9765	Drama,Romance	117	0031455
Jamaica Inn	1939	6.3	8347	Adventure,Crime	108	0031505
Mr. Smith Goes to Washington	1939	8.1	101014	Comedy,Drama	129	0031679
Ninotchka	1939	7.9	17765	Comedy,Romance	110	0031725
Only Angels Have Wings	1939	7.7	11474	Adventure,Drama,Romance	121	0031762
The Roaring Twenties	1939	8.0	11945	Crime,Drama,Film-Noir	106	0031867
The Rules of the Game	1939	8.1	24997	Comedy,Drama	110	0031885
Son of Frankenstein	1939	7.1	8397	Drama,Horror,Sci-Fi	99	0031951
Stagecoach	1939	7.9	39835	Adventure,Drama,Western	96	0031971
The Wizard of Oz	1939	8.0	359441	Adventure,Family,Fantasy	102	0032138
The Women	1939	7.8	11883	Comedy,Drama	133	0032143
Wuthering Heights	1939	7.6	15342	Drama,Romance	104	0032145
Fantasia	1940	7.8	84010	Animation,Family,Fantasy	125	0032455
Foreign Correspondent	1940	7.5	17039	Action,Romance,Thriller	120	0032484
The Grapes of Wrath	1940	8.0	82748	Drama,History	129	0032551
The Great Dictator	1940	8.5	188722	Comedy,Drama,War	125	0032553
His Girl Friday	1940	7.9	50020	Comedy,Drama,Romance	92	0032599
The Letter	1940	7.6	10837	Crime,Drama,Film-Noir	95	0032701
The Mark of Zorro	1940	7.5	8891	Action,Adventure,Romance	94	0032762
The Philadelphia Story	1940	7.9	60017	Comedy,Romance	112	0032904
Pinocchio	1940	7.4	121862	Animation,Comedy,Family	88	0032910
Rebecca	1940	8.1	114414	Drama,Mystery,Romance	130	0032976
The Sea Hawk	1940	7.7	8611	Action,Adventure,History	127	0033028
The Shop Around the Corner	1940	8.1	25574	Comedy,Drama,Romance	99	0033045
The Thief of Bagdad	1940	7.5	11175	Adventure,Family,Fantasy	106	0033152
Waterloo Bridge	1940	7.8	8375	Drama,Romance,War	108	0033238
Ball of Fire	1941	7.8	9911	Comedy,Romance	111	0033373
Citizen Kane	1941	8.3	375242	Drama,Mystery	119	0033467
High Sierra	1941	7.5	14096	Action,Adventure,Crime	100	0033717
How Green Was My Valley	1941	7.7	19802	Drama,Family	118	0033729
The Lady Eve	1941	7.8	17881	Comedy,Romance	94	0033804
The Little Foxes	1941	8.0	9578	Drama,Romance	116	0033836
The Maltese Falcon	1941	8.0	143417	Film-Noir,Mystery	100	0033870
Meet John Doe	1941	7.7	11315	Comedy,Drama,Romance	122	0033891
Mr. & Mrs. Smith	1941	6.4	8667	Comedy,Romance	95	0033922
Sergeant York	1941	7.7	14433	Biography,Drama,History	134	0034167
Sullivan's Travels	1941	8.0	22522	Adventure,Comedy,Drama	90	0034240
Suspicion	1941	7.4	30057	Mystery,Thriller	99	0034248
The Wolf Man	1941	7.3	21988	Horror	70	0034398
Bambi	1942	7.3	123348	Animation,Drama,Family	70	0034492
Casablanca	1942	8.5	492076	Drama,Romance,War	102	0034583
Cat People	1942	7.3	18389	Fantasy,Horror,Thriller	73	0034587
Holiday Inn	1942	7.4	12406	Comedy,Drama,Music	100	0034862
The Magnificent Ambersons	1942	7.7	20910	Drama,Romance	88	0035015
Mrs. Miniver	1942	7.6	14782	Drama,Romance,War	134	0035093
Now, Voyager	1942	8.0	14059	Drama,Romance	117	0035140
The Palm Beach Story	1942	7.5	10184	Comedy,Romance	88	0035169
The Pride of the Yankees	1942	7.7	9266	Biography,Drama,Romance	128	0035211
Saboteur	1942	7.2	21740	Thriller,War	109	0035279
Kate & Leopold	2001	6.4	75863	Comedy,Fantasy,Romance	118	0035423
To Be or Not to Be	1942	8.3	24272	Comedy,War	99	0035446
Woman of the Year	1942	7.2	8516	Comedy,Drama,Romance	114	0035567
Yankee Doodle Dandy	1942	7.7	13245	Biography,Drama,Musical	126	0035575
Le Corbeau	1943	7.9	8195	Crime,Drama,Mystery	92	0035753
